,Ctyname,Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,geometry,long_lat,NEWNAME,deer_density,deer_row,deer_dist
20,Crenshaw County,Alabama,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01041,1.0,41.0,Crenshaw,County,608.84,"POLYGON ((-86.193951 31.440072, -86.27703099999999 31.455602, -86.28015499999999 31.52851, -86.39853599999999 31.451325, -86.39994 31.527128, -86.499213 31.525331, -86.499533 31.655247, -86.448635 31.655617, -86.44819799999999 31.964629, -86.40627599999999 32.050731, -86.30361599999999 32.051664, -86.302217 31.965065, -86.191379 31.966453, -86.199378 31.79045, -86.14833899999999 31.790951, -86.145895 31.617741, -86.14394999999999 31.537675, -86.194784 31.529949, -86.193951 31.440072))","(-86.31635588711754, 31.7321723778643)",Crenshaw County,50,187,0
21,Cullman County,Alabama,1,43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0500000US01043,1.0,43.0,Cullman,County,734.841,"POLYGON ((-87.109911 34.299299, -87.11011099999999 34.313799, -87.092311 34.312297, -86.581936 34.304694, -86.45302 34.259317, -86.514881 34.25437, -86.599632 34.119914, -86.692061 34.092654, -86.68536499999999 34.05914, -86.793914 33.952059, -86.924387 33.909222, -86.963358 33.858221, -87.091836 33.890093, -87.15103599999999 33.993225, -87.111992 33.992385, -87.109911 34.299299))","(-86.87337990995529, 34.127995016223636)",Cullman County,10,147,0
22,Dale County,Alabama,1,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0500000US01045,1.0,45.0,Dale,County,561.15,"POLYGON ((-85.416437 31.619466, -85.417434 31.314973, -85.48585399999999 31.246096, -85.65998499999999 31.270889, -85.710866 31.195179, -85.79140199999999 31.196349, -85.789142 31.617964, -85.74994099999999 31.617914, -85.748251 31.618048, -85.416437 31.619466))","(-85.61103126215576, 31.43067790630292)",Dale County,35,194,0
23,Dallas County,Alabama,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0500000US01047,1.0,47.0,Dallas,County,978.695,"POLYGON ((-86.90695599999999 32.04797, -87.178071 32.047514, -87.26285299999999 32.147007, -87.472206 32.264919, -87.47308 32.307614, -87.42174399999999 32.308101, -87.423153 32.482965, -87.11651499999999 32.487659, -87.01776199999999 32.729532, -87.01765999999999 32.663269, -86.91759499999999 32.664169, -86.890581 32.502974, -86.81491199999999 32.340803, -86.864367 32.274918, -86.81031299999999 32.224747, -86.90830199999999 32.225028, -86.90695599999999 32.04797))","(-87.10810973466297, 32.32775693654059)",Dallas County,50,175,0
24,DeKalb County,Alabama,1,49,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0500000US01049,1.0,49.0,DeKalb,County,777.093,"POLYGON ((-85.51370899999999 34.52417, -85.51369909907061 34.5241334018111, -85.57698099999999 34.483543, -85.636645 34.366622, -85.84361699999999 34.200006, -86.10608599999999 34.200756, -86.11036199999999 34.427797, -86.057712 34.475994, -86.00384 34.480031, -85.785471 34.624584, -85.583145 34.860371, -85.552482 34.708321, -85.552454 34.708138, -85.54126699999999 34.656783, -85.541264 34.656701, -85.53442318178318 34.6237885406865, -85.52712673923949 34.58868398729209, -85.51393 34.525192, -85.51370899999999 34.52417))","(-85.8048750269806, 34.45671187157902)",DeKalb County,10,140,0
25,Elmore County,Alabama,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0500000US01051,1.0,51.0,Elmore,County,618.485,"POLYGON ((-86.336776 32.767469, -86.31948 32.753698, -86.007187 32.754984, -85.87985999999999 32.754528, -85.88614799999999 32.493053, -85.89442 32.447578, -86.02301199999999 32.419978, -86.192284 32.43613, -86.23706799999999 32.49498, -86.41117199999999 32.409937, -86.413116 32.707386, -86.41333499999999 32.750591, -86.37497399999999 32.75358, -86.33676799999999 32.753783, -86.336776 32.767469))","(-86.14524732211957, 32.59769368916556)",Elmore County,10,173,0
26,Escambia County,Alabama,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01053,1.0,53.0,Escambia,County,945.08,"POLYGON ((-87.16308405069759 30.999051081469, -87.25497999999999 30.998285, -87.25559199999999 30.998216, -87.257002 30.998194, -87.25796 30.998263, -87.25968899999999 30.998172, -87.26053999999999 30.998195, -87.265564 30.998267, -87.288905 30.998345, -87.290995 30.998352, -87.30156699999999 30.998434, -87.30403 30.998191, -87.31218299999999 30.998435, -87.333973 30.998272, -87.355656 30.998244, -87.36401099999999 30.998218, -87.367842 30.998292, -87.42577399999999 30.99809, -87.43229199999999 30.998205, -87.449811 30.998272, -87.45570499999999 30.998318, -87.458658 30.998386, -87.46163799999999 30.998202, -87.461783 30.998201, -87.46682699999999 30.998178, -87.46687899999999 30.998178, -87.478706 30.998213, -87.479703 30.998197, -87.480243 30.998202, -87.548543 30.997927, -87.571281 30.99787, -87.598928 30.997457, -87.59892742265589 30.9974544684113, -87.615431 30.997361, -87.61588999999999 31.244458, -87.42745499999999 31.260386, -86.76396099999999 31.261293, -86.772519 31.202243, -86.700282 31.192217, -86.68829356389391 30.9950294071558, -86.72537899999999 30.996872, -86.727293 30.996882, -86.728392 30.996739, -86.7856922327115 30.9969770620175, -86.785918 30.996978, -86.83049699999999 30.997401, -86.83193399999999 30.997378, -86.87298899999999 30.997631, -86.88813499999999 30.997577, -87.027107 30.999255, -87.036366 30.999348, -87.03998899999999 30.999594, -87.053737 30.999131, -87.06406299999999 30.999191, -87.06863299999999 30.999143, -87.16261399999999 30.999055, -87.16308405069759 30.999051081469))","(-87.16047423826484, 31.12649640270881)",Escambia County,10,199,0
27,Etowah County,Alabama,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01055,1.0,55.0,Etowah,County,534.991,"POLYGON ((-85.84361699999999 34.200006, -85.738975 33.96846, -85.96916999999999 33.914598, -85.96916999999999 33.892898, -85.98647 33.893698, -85.98636999999999 33.879198, -85.99497 33.879598, -85.99516899999999 33.864897, -86.02147099999999 33.866098, -86.021271 33.851498, -86.048772 33.852698, -86.049072 33.841598, -86.06527199999999 33.842198, -86.199164 33.988918, -86.325622 33.940147, -86.37015199999999 33.93977, -86.332723 33.986109, -86.303516 34.099073, -86.206107 34.17265, -86.10608599999999 34.200756, -85.84361699999999 34.200006))","(-86.03722956105764, 34.047164805108814)",Etowah County,10,150,0
28,Fayette County,Alabama,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0500000US01057,1.0,57.0,Fayette,County,627.66,"POLYGON ((-87.951785 33.91993, -87.635932 33.915251, -87.63603999999999 33.871999, -87.53160199999999 33.867618, -87.52833799999999 33.692049, -87.42384299999999 33.689112, -87.42370099999999 33.602096, -87.63171799999999 33.609833, -87.66666099999999 33.521667, -87.840683 33.524839, -87.85856 33.525326, -87.946519 33.524065, -87.951785 33.91993))","(-87.73891196860764, 33.72120846868618)",Fayette County,10,156,0
29,Franklin County,Alabama,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0500000US01059,1.0,59.0,Franklin,County,633.821,"POLYGON ((-88.1553053272528 34.46308658770459, -88.139988 34.581703, -87.52966699999999 34.567081, -87.52972199999999 34.304598, -87.634725 34.306997, -88.173632 34.321054, -88.16591 34.380926, -88.165634 34.383102, -88.1553053272528 34.46308658770459))","(-87.84309474176492, 34.44236097777545)",Franklin County,10,144,0
30,Geneva County,Alabama,1,61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0500000US01061,1.0,61.0,Geneva,County,574.408,"POLYGON ((-85.4979920020654 30.9969311817577, -85.498272 30.996928, -86.035039 30.99332, -86.05246199999999 30.993247, -86.056213 30.993133, -86.162886 30.993682, -86.16897899999999 30.993706, -86.17520399999999 30.993798, -86.18023199999999 30.994005, -86.18724594432989 30.9939916817734, -86.19347599999999 31.192213, -85.79140199999999 31.196349, -85.710866 31.195179, -85.48576 31.199886, -85.4882977425316 30.9970413425162, -85.4979920020654 30.9969311817577))","(-85.83803278111044, 31.095350758332128)",Geneva County,1,247,0
31,Greene County,Alabama,1,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0500000US01063,1.0,63.0,Greene,County,647.11,"POLYGON ((-88.02697099999999 33.063602, -87.837521 33.153637, -87.838047 33.136864, -87.832233 33.017258, -87.71570899999999 33.006824, -87.870464 32.762442, -87.828542 32.768903, -87.796043 32.715632, -87.813401 32.633875, -87.736786 32.58918999999999, -87.81255899999999 32.52456, -87.82338299999999 32.520443, -87.822317 32.543748, -87.84514399999999 32.546687, -87.85342 32.532086, -87.897913 32.600046, -87.840858 32.605036, -87.92868899999999 32.632284, -88.057333 32.593441, -88.109633 32.770989, -88.07933799999999 32.772948, -88.20731599999999 32.924782, -88.171852 32.99586, -88.02697099999999 33.063602))","(-87.95325434738007, 32.85187987468096)",Greene County,50,165,0
32,Hale County,Alabama,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0500000US01065,1.0,65.0,Hale,County,643.943,"POLYGON ((-87.4212 32.874508, -87.472174 32.83062, -87.47391499999999 32.655867, -87.52519799999999 32.655713, -87.524485 32.482028, -87.72874399999999 32.480918, -87.81255899999999 32.52456, -87.736786 32.58918999999999, -87.813401 32.633875, -87.796043 32.715632, -87.828542 32.768903, -87.870464 32.762442, -87.71570899999999 33.006824, -87.421936 33.003379, -87.420132 32.902605, -87.4212 32.874508))","(-87.63241145686935, 32.76016951832246)",Hale County,35,170,0
33,Henry County,Alabama,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01067,1.0,67.0,Henry,County,561.75,"POLYGON ((-85.0468589801481 31.5174508676093, -85.06806499999999 31.427586, -85.08765099999999 31.308677, -85.179131 31.307675, -85.417434 31.314973, -85.416437 31.619466, -85.416038 31.706664, -85.216076 31.702409, -85.1245007145954 31.7630809859312, -85.11892999999999 31.732664, -85.12223 31.722764, -85.12653 31.716764, -85.12553 31.694965, -85.087029 31.640966, -85.065236 31.624351, -85.059534 31.621717, -85.057473 31.618624, -85.04130499999999 31.540987, -85.0468589801481 31.5174508676093))","(-85.24071388320624, 31.51018969227564)",Henry County,50,191,0
